Country Name,Country Code,Year,Value,Value_EUR,Value_EUR_billions
Finland,FIN,1987,91594751792.2359,85183119166.77939,85.18311916677939
Finland,FIN,1988,109058990760.48328,101424861407.24945,101.42486140724945
Finland,FIN,1989,119012054870.44478,110681211029.51366,110.68121102951366
Finland,FIN,1990,141438345513.91696,131537661327.94278,131.53766132794277
Finland,FIN,1991,127773856785.76678,118829686810.76312,118.82968681076312
Finland,FIN,1992,112532519246.08444,104655242898.85854,104.65524289885853
Finland,FIN,1993,89214114708.0254,82969126678.46364,82.96912667846364
Finland,FIN,1994,103299943084.80363,96068947068.86739,96.06894706886739
Finland,FIN,1995,134189814814.8148,124796527777.77777,124.79652777777777
Finland,FIN,1996,132129174216.92986,122880132021.74477,122.88013202174477
Finland,FIN,1997,126912152101.70656,118028301454.58711,118.02830145458711
Finland,FIN,1998,134038718291.05472,124656008010.6809,124.65600801068089
Finland,FIN,1999,135264083658.68756,125795597802.57944,125.79559780257944
Finland,FIN,2000,126019543413.3336,117198175374.40025,117.19817537440025
Finland,FIN,2001,129533107311.8112,120465789799.98442,120.46578979998442
Finland,FIN,2002,140404460203.1375,130576147988.9179,130.57614798891788
Finland,FIN,2003,171652458349.4114,159636786264.9526,159.6367862649526
Finland,FIN,2004,197479443979.1511,183655882900.61053,183.65588290061052
Finland,FIN,2005,204885494686.38123,190543510058.33456,190.54351005833456
Finland,FIN,2006,217089269791.7644,201893020906.3409,201.89302090634092
Finland,FIN,2007,256378067752.15768,238431603009.50665,238.43160300950666
Finland,FIN,2008,285716311136.7187,265716169357.1484,265.71616935714843
Finland,FIN,2009,253497520828.51544,235752694370.51938,235.75269437051938
Finland,FIN,2010,249424310816.66714,231964609059.50046,231.96460905950045
Finland,FIN,2011,275604356167.31573,256312051235.60364,256.31205123560363
Finland,FIN,2012,258290060227.73444,240209756011.79303,240.20975601179302
Finland,FIN,2013,271362405890.589,252367037478.24777,252.36703747824777
Finland,FIN,2014,274862826772.15588,255622428898.10498,255.62242889810497
Finland,FIN,2015,234534382384.7655,218116975617.83194,218.11697561783194
Finland,FIN,2016,240771351298.83328,223917356707.91498,223.917356707915
Finland,FIN,2017,255647979916.47104,237752621322.31808,237.75262132231808
Finland,FIN,2018,275708001767.84296,256408441644.09396,256.40844164409395
Finland,FIN,2019,268514916972.54855,249718872784.47015,249.71887278447016
Finland,FIN,2020,271886077382.10196,252854051965.35483,252.85405196535484
Finland,FIN,2021,296470417085.26654,275717487889.2979,275.7174878892979
Finland,FIN,2022,281887430795.72095,262155310640.0205,262.1553106400205
Finland,FIN,2023,300187202696.08374,279174098507.3579,279.1740985073579
France,FRA,1960,62225478000.88224,57869694540.82049,57.86969454082049
France,FRA,1961,67461644222.03518,62739329126.49272,62.73932912649272
France,FRA,1962,75607529809.92879,70315002723.23378,70.31500272323377
France,FRA,1963,84759195105.86928,78826051448.45844,78.82605144845843
France,FRA,1964,94007851047.36778,87427301474.05205,87.42730147405204
France,FRA,1965,101537248148.42683,94429640778.03696,94.42964077803695
France,FRA,1966,110045852177.92784,102342642525.4729,102.3426425254729
France,FRA,1967,118972977486.2066,110644869062.17215,110.64486906217215
France,FRA,1968,129785441507.45567,120700460601.93378,120.70046060193377
France,FRA,1969,141903068680.3094,131969853872.68774,131.96985387268774
France,FRA,1970,148456359985.82733,138064414786.81943,138.06441478681944
France,FRA,1971,165966615366.40228,154348952290.75412,154.3489522907541
France,FRA,1972,203494148244.47333,189249557867.3602,189.2495578673602
France,FRA,1973,264429876252.2098,245919784914.55515,245.91978491455515
France,FRA,1974,285553737043.09875,265564975450.08185,265.5649754500819
France,FRA,1975,360832186018.0512,335573932996.78766,335.5739329967877
France,FRA,1976,372319038514.0672,346256705818.0825,346.25670581808254
France,FRA,1977,410279486493.7149,381559922439.1549,381.5599224391549
France,FRA,1978,506709302325.5814,471239651162.7908,471.2396511627908
France,FRA,1979,613953129818.0697,570976410730.8048,570.9764107308048
France,FRA,1980,701288419745.4207,652198230363.2412,652.1982303632412
France,FRA,1981,615552202776.1013,572463548581.7743,572.4635485817743
France,FRA,1982,584877732308.6136,543936291047.01074,543.9362910470107
France,FRA,1983,559869179791.7205,520678337206.30005,520.6783372063001
France,FRA,1984,530683779929.4453,493535915334.38416,493.53591533438413
France,FRA,1985,553138414367.0609,514418725361.3667,514.4187253613667
France,FRA,1986,771470783218.1078,717467828392.8403,717.4678283928404
France,FRA,1987,934173305685.9108,868781174287.8971,868.7811742878971
France,FRA,1988,1018847043277.172,947527750247.77,947.52775024777
France,FRA,1989,1025211803413.5308,953446977174.5836,953.4469771745836
France,FRA,1990,1269179616913.625,1180337043729.6714,1180.3370437296714
France,FRA,1991,1269276828275.782,1180427450296.4773,1180.4274502964772
France,FRA,1992,1401465923172.243,1303363308550.186,1303.363308550186
France,FRA,1993,1322815612694.0005,1230218519805.4204,1230.2185198054203
France,FRA,1994,1393982750472.5898,1296403957939.5085,1296.4039579395085
France,FRA,1995,1601094756209.7517,1489018123275.069,1489.018123275069
France,FRA,1996,1605675086549.5576,1493277830491.0886,1493.2778304910887
France,FRA,1997,1452884917959.0918,1351182973701.9553,1351.1829737019552
France,FRA,1998,1503108739159.4397,1397891127418.279,1397.891127418279
France,FRA,1999,1493151737698.459,1388631116059.567,1388.631116059567
France,FRA,2000,1365639660792.1597,1270044884536.7085,1270.0448845367084
France,FRA,2001,1377657339291.3403,1281221325540.9465,1281.2213255409465
France,FRA,2002,1501409382971.3752,1396310726163.3792,1396.310726163379
France,FRA,2003,1844544792036.859,1715426656594.2788,1715.4266565942787
France,FRA,2004,2119633181634.3684,1971258858919.9626,1971.2588589199627
France,FRA,2005,2196945232435.7969,2043159066165.2913,2043.1590661652913
France,FRA,2006,2320536221304.7026,2158098685813.3735,2158.0986858133733
France,FRA,2007,2660591246211.7734,2474349858976.949,2474.3498589769492
France,FRA,2008,2930303780828.1245,2725182516170.156,2725.182516170156
France,FRA,2009,2700887366932.0293,2511825251246.7876,2511.8252512467875
France,FRA,2010,2645187882116.672,2460024730368.505,2460.024730368505
France,FRA,2011,2865157541994.169,2664596514054.577,2664.5965140545773
France,FRA,2012,2683671716967.188,2495814696779.485,2495.814696779485
France,FRA,2013,2811876903329.028,2615045520095.996,2615.045520095996
France,FRA,2014,2855964488590.186,2656046974388.873,2656.046974388873
France,FRA,2015,2439188643162.4985,2268445438141.1235,2268.4454381411238
France,FRA,2016,2472964344587.165,2299856840466.0635,2299.8568404660637
France,FRA,2017,2595151045197.6514,2413490472033.816,2413.490472033816
France,FRA,2018,2790956878746.665,2595589897234.3984,2595.5898972343984
France,FRA,2019,2728870246705.878,2537849329436.467,2537.8493294364666
France,FRA,2020,2647418691598.4507,2462099383186.559,2462.099383186559
France,FRA,2021,2959355819170.495,2752200911828.5605,2752.2009118285605
France,FRA,2022,2779092236505.847,2584555779950.438,2584.555779950438
France,FRA,2023,3030904089607.8965,2818740803335.3438,2818.7408033353436
Germany,DEU,1960,84310950194.11525,78409183680.52719,78.40918368052719
Germany,DEU,1961,96205728657.72688,89471327651.686,89.47132765168601
Germany,DEU,1962,105508875286.24107,98123254016.20421,98.12325401620421
Germany,DEU,1963,111822811005.91238,103995214235.49852,103.99521423549852
Germany,DEU,1964,122880200227.83871,114278586211.89001,114.27858621189002
Germany,DEU,1965,134282707622.24054,124882918088.68372,124.88291808868371
Germany,DEU,1966,142781158769.17966,132786477655.33708,132.78647765533708
